Date,T1M,T3M,T6M,T1Y,T2Y,T3Y,T4Y,T5Y,T6Y,T7Y,T10Y,T15Y,T20Y,T30Y
1997/05/14,5.6875,5.8125,6,6.265,6.475,6.615,6.705,6.765,6.83,6.885,7.025,7.16,7.22,7.22
1997/05/15,5.6875,5.8125,6,6.245,6.475,6.605,6.695,6.775,6.835,6.895,7.025,7.15,7.21,7.21
1997/05/16,5.6875,5.81641,6,6.215,6.495,6.645,6.735,6.805,6.875,6.935,7.085,7.21,7.27,7.25
1997/05/19,5.71094,5.83984,6,6.27,6.505,6.665,6.755,6.825,6.885,6.945,7.075,7.2,7.26,7.27
1997/05/20,5.75,5.875,6.03125,6.265,6.445,6.595,6.695,6.775,6.835,6.905,7.04,7.16,7.22,7.25
1997/05/21,5.6875,5.8125,5.96875,6.175,6.475,6.635,6.735,6.825,6.885,6.955,7.085,7.21,7.27,7.31
1997/05/22,5.6875,5.8125,5.96875,6.205,6.475,6.655,6.755,6.835,6.915,6.975,7.115,7.24,7.31,7.34
1997/05/23,5.6875,5.80469,5.96875,6.26,6.475,6.65,6.75,6.835,6.9,6.965,7.1,7.23,7.3,7.34
1997/05/27,5.6875,5.8125,5.96875,6.225,6.545,6.695,6.795,6.875,6.955,7.015,7.155,7.29,7.35,7.36
1997/05/28,5.6875,5.8125,5.99609,6.255,6.565,6.715,6.815,6.895,6.955,7.015,7.145,7.29,7.35,7.37
1997/05/29,5.69141,5.8125,6,6.295,6.505,6.665,6.765,6.845,6.915,6.975,7.095,7.23,7.3,7.32
1997/05/30,5.6875,5.8125,6,6.225,6.445,6.595,6.675,6.755,6.825,6.875,7.015,7.15,7.22,7.25
1997/06/02,5.6875,5.8125,5.94531,6.165,6.455,6.595,6.685,6.765,6.835,6.885,6.995,7.14,7.21,7.22
1997/06/03,5.6875,5.8125,5.96484,6.195,6.415,6.555,6.655,6.725,6.785,6.835,6.955,7.11,7.18,7.2
1997/06/04,5.6875,5.8125,5.96094,6.205,6.435,6.575,6.665,6.755,6.795,6.855,6.965,7.11,7.18,7.21
1997/06/05,5.6875,5.8125,5.96484,6.215,6.435,6.585,6.665,6.735,6.795,6.845,6.955,7.1,7.17,7.21
1997/06/06,5.6875,5.8125,5.96484,6.205,6.355,6.485,6.565,6.635,6.685,6.735,6.845,6.99,7.06,7.1
1997/06/09,5.6875,5.80859,5.9375,6.145,6.405,6.545,6.625,6.695,6.745,6.795,6.895,7.04,7.11,7.15
1997/06/10,5.6875,5.8125,5.9375,6.22,6.425,6.565,6.645,6.715,6.765,6.825,6.935,7.07,7.14,7.17
1997/06/11,5.6875,5.8125,5.9375,6.165,6.445,6.575,6.665,6.735,6.785,6.835,6.94,7.07,7.14,7.17
1997/06/12,5.6875,5.8125,5.9375,6.095,6.32,6.465,6.545,6.615,6.675,6.725,6.855,6.98,7.06,7.1
1997/06/13,5.6875,5.78125,5.87891,6.075,6.275,6.415,6.495,6.565,6.615,6.675,6.805,6.94,7.01,7.05
1997/06/16,5.6875,5.78125,5.875,6.045,6.265,6.385,6.465,6.535,6.595,6.645,6.765,6.91,6.99,7.03
1997/06/17,5.6875,5.78125,5.875,6.06,6.29,6.405,6.505,6.575,6.625,6.675,6.795,6.93,7.02,7.05
1997/06/18,5.6875,5.78125,5.875,6.095,6.27,6.385,6.47,6.54,6.59,6.65,6.765,6.9,6.98,7.01
1997/06/19,5.6875,5.78125,5.875,6.085,6.295,6.395,6.485,6.55,6.605,6.665,6.775,6.9,6.99,7.01
1997/06/20,5.6875,5.78125,5.875,6.095,6.275,6.405,6.485,6.545,6.595,6.645,6.755,6.88,6.97,7
1997/06/23,5.6875,5.78125,5.875,6.095,6.315,6.435,6.525,6.585,6.645,6.695,6.815,6.94,7.02,7.04
1997/06/24,5.6875,5.78125,5.875,6.105,6.3,6.42,6.5,6.57,6.625,6.675,6.8,6.93,7.01,7.03
1997/06/25,5.6875,5.78125,5.87891,6.1,6.315,6.435,6.525,6.595,6.655,6.705,6.825,6.96,7.03,7.08
1997/06/26,5.6875,5.78125,5.87891,6.13,6.325,6.475,6.555,6.645,6.705,6.755,6.885,7.01,7.08,7.12
1997/06/27,5.6875,5.78125,5.90625,6.075,6.31,6.44,6.545,6.625,6.685,6.735,6.845,6.97,7.04,7.08
1997/06/30,5.6875,5.78125,5.90625,6.095,6.355,6.495,6.595,6.675,6.705,6.785,6.885,7.02,7.09,7.12
1997/07/01,5.6875,5.80859,5.9375,6.135,6.3,6.445,6.535,6.605,6.665,6.725,6.835,6.96,7.02,7.06
1997/07/02,5.6875,5.78125,5.90625,6.115,6.305,6.425,6.515,6.595,6.645,6.685,6.805,6.93,7,7.03
1997/07/03,5.6875,5.78125,5.90625,6.095,6.205,6.335,6.425,6.485,6.545,6.595,6.705,6.83,6.92,6.95
1997/07/04,5.67969,5.75,5.84766,5.985,6.215,6.335,6.415,6.475,6.535,6.585,6.705,6.83,6.92,6.94
1997/07/07,5.6875,5.75,5.84375,6.015,6.16,6.29,6.375,6.435,6.495,6.545,6.645,6.79,6.87,6.9
1997/07/08,5.6875,5.75,5.84375,6.015,6.185,6.295,6.37,6.445,6.505,6.555,6.645,6.78,6.86,6.9
1997/07/09,5.6875,5.75,5.84375,6.015,6.155,6.275,6.375,6.435,6.495,6.535,6.635,6.77,6.86,6.88
1997/07/10,5.6875,5.75,5.84375,5.965,6.175,6.285,6.35,6.435,6.47,6.525,6.645,6.78,6.86,6.88
1997/07/11,5.67969,5.75,5.84375,6.015,6.16,6.275,6.335,6.405,6.455,6.505,6.615,6.74,6.82,6.85
1997/07/14,5.66797,5.75,5.84375,6.005,6.225,6.32,6.385,6.445,6.495,6.54,6.645,6.77,6.85,6.86
1997/07/15,5.67578,5.75,5.84766,6.015,6.215,6.315,6.375,6.445,6.485,6.53,6.645,6.77,6.84,6.85
1997/07/16,5.67578,5.75,5.84375,6.035,6.175,6.265,6.325,6.375,6.435,6.475,6.575,6.7,6.78,6.79
1997/07/17,5.66406,5.74609,5.83594,6.015,6.17,6.275,6.335,6.395,6.435,6.485,6.575,6.7,6.78,6.8
1997/07/18,5.67188,5.75,5.84375,5.985,6.225,6.315,6.385,6.435,6.475,6.525,6.635,6.76,6.83,6.85
1997/07/21,5.67188,5.75,5.84375,6.04,6.245,6.335,6.405,6.465,6.515,6.555,6.645,6.78,6.85,6.87
1997/07/22,5.67188,5.75,5.84375,6.025,6.12,6.215,6.285,6.335,6.385,6.415,6.515,6.64,6.71,6.75
1997/07/23,5.64844,5.71875,5.8125,5.955,6.105,6.225,6.295,6.355,6.415,6.455,6.545,6.68,6.75,6.77
1997/07/24,5.64844,5.71875,5.8125,5.915,6.095,6.225,6.295,6.355,6.405,6.455,6.565,6.69,6.76,6.78
1997/07/25,5.64844,5.71875,5.8125,5.965,6.125,6.235,6.315,6.375,6.425,6.475,6.585,6.71,6.78,6.79
1997/07/28,5.64453,5.71875,5.8125,5.975,6.075,6.205,6.265,6.335,6.375,6.425,6.535,6.65,6.72,6.73
1997/07/29,5.625,5.71875,5.8125,5.955,6.085,6.185,6.255,6.305,6.365,6.415,6.515,6.63,6.71,6.71
1997/07/30,5.625,5.71875,5.8125,5.905,6.055,6.135,6.195,6.255,6.315,6.345,6.465,6.57,6.64,6.65
1997/07/31,5.625,5.70703,5.80078,5.92,6.035,6.105,6.165,6.225,6.265,6.305,6.415,6.54,6.61,6.63
1997/08/01,5.625,5.6875,5.78125,5.855,6.165,6.275,6.335,6.395,6.435,6.48,6.585,6.7,6.77,6.78
1997/08/04,5.62891,5.71875,5.8125,5.975,6.195,6.305,6.375,6.425,6.475,6.51,6.615,6.73,6.8,6.8
1997/08/05,5.62891,5.71875,5.8125,5.985,6.205,6.325,6.39,6.445,6.485,6.52,6.635,6.74,6.81,6.81
1997/08/06,5.63281,5.71875,5.84375,6.045,6.195,6.295,6.365,6.425,6.465,6.515,6.615,6.72,6.79,6.8
1997/08/07,5.63672,5.71875,5.83398,6.015,6.235,6.305,6.395,6.475,6.505,6.555,6.655,6.76,6.83,6.85
1997/08/08,5.63281,5.71875,5.84375,6.015,6.305,6.415,6.495,6.555,6.605,6.655,6.785,6.9,6.97,7
1997/08/11,5.63281,5.75,5.875,6.095,6.3,6.405,6.495,6.545,6.595,6.645,6.775,6.89,6.82,7
1997/08/12,5.64453,5.75,5.875,6.095,6.335,6.445,6.525,6.595,6.585,6.695,6.825,6.93,7,7.03
1997/08/13,5.65234,5.75,5.875,6.125,6.24,6.345,6.435,6.505,6.565,6.615,6.765,6.87,6.94,7
1997/08/14,5.64453,5.74219,5.85156,6.055,6.195,6.275,6.365,6.445,6.495,6.545,6.685,6.79,6.85,6.93
1997/08/15,5.64453,5.73828,5.84375,6.015,6.145,6.245,6.33,6.405,6.465,6.525,6.67,6.79,6.86,6.93
1997/08/18,5.63281,5.71875,5.8125,5.925,6.135,6.215,6.305,6.395,6.445,6.505,6.655,6.77,6.85,6.9
1997/08/19,5.625,5.71875,5.8125,5.965,6.145,6.235,6.315,6.405,6.455,6.505,6.645,6.76,6.84,6.88
1997/08/20,5.62891,5.71875,5.8125,5.975,6.185,6.28,6.365,6.425,6.485,6.535,6.675,6.79,6.87,6.91
1997/08/21,5.625,5.71875,5.82813,6.005,6.235,6.345,6.435,6.5,6.565,6.62,6.755,6.87,6.95,6.96
1997/08/22,5.625,5.71875,5.84375,6.045,6.25,6.375,6.455,6.525,6.595,6.645,6.785,6.91,6.98,6.99
1997/08/26,5.625,5.72266,5.84375,6.065,6.245,6.365,6.455,6.535,6.595,6.645,6.77,6.9,6.97,6.99
1997/08/27,5.63281,5.72656,5.84375,6.055,6.265,6.395,6.475,6.545,6.605,6.645,6.785,6.9,6.97,6.98
1997/08/28,5.65625,5.73438,5.84375,6.065,6.215,6.325,6.405,6.47,6.535,6.585,6.725,6.84,6.9,6.92
1997/08/29,5.65625,5.71875,5.84375,6.015,6.255,6.375,6.465,6.525,6.585,6.635,6.765,6.87,6.94,6.95
1997/09/01,5.65625,5.72266,5.84375,6.065,6.255,6.375,6.455,6.525,6.575,6.625,6.765,6.87,6.94,6.95
1997/09/02,5.65625,5.71875,5.84375,6.055,6.205,6.315,6.395,6.475,6.525,6.575,6.705,6.81,6.88,6.9
1997/09/03,5.65625,5.71875,5.84375,6.015,6.255,6.365,6.445,6.515,6.575,6.625,6.75,6.85,6.92,6.94
1997/09/04,5.65625,5.71875,5.84375,6.065,6.255,6.365,6.445,6.515,6.575,6.635,6.755,6.87,6.94,6.95
1997/09/05,5.65625,5.71875,5.84375,6.055,6.255,6.365,6.445,6.515,6.585,6.635,6.765,6.88,6.95,6.97
1997/09/08,5.65625,5.71875,5.84375,6.055,6.255,6.365,6.435,6.505,6.565,6.615,6.735,6.85,6.93,6.94
1997/09/09,5.65625,5.71875,5.84375,6.065,6.255,6.365,6.445,6.515,6.575,6.625,6.745,6.87,6.94,6.95
1997/09/10,5.65625,5.71875,5.84375,6.065,6.285,6.395,6.475,6.555,6.605,6.655,6.775,6.9,6.97,6.99
1997/09/11,5.65625,5.71875,5.86328,6.085,6.305,6.415,6.5,6.565,6.625,6.675,6.805,6.92,7,7.02
1997/09/12,5.65625,5.71875,5.87109,6.095,6.215,6.335,6.405,6.465,6.525,6.565,6.695,6.81,6.89,6.91
1997/09/15,5.65625,5.71875,5.84375,6.045,6.215,6.325,6.395,6.465,6.515,6.575,6.705,6.82,6.9,6.9
1997/09/16,5.65625,5.71875,5.84375,6.045,6.105,6.205,6.255,6.305,6.365,6.405,6.52,6.65,6.72,6.75
1997/09/17,5.65625,5.71875,5.8125,5.935,6.095,6.195,6.265,6.305,6.355,6.405,6.525,6.64,6.72,6.73
1997/09/18,5.65625,5.71875,5.8125,5.965,6.135,6.235,6.295,6.345,6.385,6.435,6.555,6.66,6.74,6.74
1997/09/19,5.65625,5.71875,5.8125,5.955,6.12,6.225,6.275,6.335,6.37,6.415,6.525,6.64,6.72,6.73
1997/09/22,5.65625,5.71875,5.8125,5.975,6.105,6.195,6.255,6.305,6.355,6.385,6.495,6.61,6.69,6.69
1997/09/23,5.65625,5.71875,5.8125,5.975,6.135,6.225,6.285,6.325,6.385,6.415,6.515,6.64,6.71,6.72
1997/09/24,5.65625,5.71875,5.8125,5.975,6.095,6.175,6.245,6.295,6.335,6.365,6.475,6.59,6.66,6.66
1997/09/25,5.65625,5.71875,5.8125,5.965,6.175,6.265,6.325,6.385,6.425,6.465,6.555,6.67,6.74,6.74
1997/09/26,5.65625,5.71875,5.84375,5.975,6.145,6.24,6.3,6.355,6.385,6.435,6.535,6.64,6.7,6.7
1997/09/29,5.65625,5.77734,5.84375,5.995,6.145,6.235,6.305,6.355,6.405,6.435,6.535,6.65,6.72,6.73
1997/09/30,5.65625,5.76953,5.84375,6.005,6.145,6.235,6.315,6.365,6.405,6.445,6.545,6.66,6.74,6.75
1997/10/01,5.65625,5.77344,5.84375,5.995,6.115,6.195,6.255,6.315,6.355,6.405,6.485,6.6,6.67,6.68
1997/10/02,5.65234,5.75781,5.81641,5.975,6.085,6.165,6.235,6.275,6.325,6.36,6.455,6.57,6.64,6.66
1997/10/03,5.64844,5.75,5.8125,5.96,6.035,6.125,6.175,6.235,6.285,6.325,6.435,6.55,6.63,6.64
1997/10/06,5.625,5.71875,5.78125,5.905,6.005,6.095,6.155,6.205,6.265,6.305,6.415,6.52,6.6,6.61
1997/10/07,5.625,5.71875,5.78125,5.895,5.975,6.05,6.12,6.175,6.235,6.28,6.38,6.49,6.57,6.59
1997/10/08,5.625,5.71875,5.78125,5.885,6.095,6.19,6.255,6.315,6.375,6.425,6.545,6.64,6.72,6.72
1997/10/09,5.625,5.75,5.8125,5.975,6.095,6.195,6.255,6.315,6.365,6.415,6.535,6.63,6.71,6.72
1997/10/13,5.625,5.75781,5.84766,6.035,6.175,6.265,6.315,6.385,6.435,6.485,6.605,6.71,6.78,6.79
1997/10/14,5.625,5.75391,5.84766,6.025,6.135,6.215,6.265,6.315,6.355,6.415,6.535,6.63,6.7,6.72
1997/10/15,5.625,5.75391,5.84375,6.015,6.16,6.255,6.315,6.365,6.415,6.465,6.575,6.66,6.73,6.76
1997/10/16,5.625,5.77344,5.875,6.055,6.175,6.255,6.31,6.385,6.415,6.465,6.565,6.66,6.72,6.75
1997/10/17,5.625,5.78125,5.875,6.045,6.255,6.345,6.4,6.455,6.5,6.535,6.635,6.73,6.8,6.8
1997/10/20,5.64844,5.80859,5.90625,6.115,6.235,6.325,6.385,6.435,6.475,6.515,6.615,6.71,6.77,6.78
1997/10/21,5.65234,5.8125,5.90625,6.105,6.235,6.325,6.375,6.435,6.475,6.515,6.605,6.69,6.76,6.77
1997/10/22,5.65625,5.8125,5.90625,6.105,6.245,6.315,6.375,6.425,6.465,6.505,6.595,6.68,6.75,6.78
1997/10/27,5.65625,5.78125,5.84375,5.955,6.16,6.24,6.28,6.33,6.36,6.4,6.5,6.51,6.58,6.61
1997/10/28,5.625,5.75,5.78125,5.81,6.1,6.18,6.24,6.295,6.355,6.395,6.495,6.58,6.66,6.69
1997/10/29,5.65625,5.78125,5.83984,5.965,5.995,6.095,6.155,6.195,6.235,6.295,6.395,6.47,6.54,6.61
1997/10/30,5.64063,5.75,5.78125,5.875,5.995,6.065,6.125,6.185,6.215,6.255,6.345,6.44,6.52,6.56
1997/10/31,5.64844,5.75,5.78516,5.895,6.015,6.095,6.165,6.215,6.235,6.275,6.365,6.46,6.54,6.57
1997/11/04,5.65625,5.75,5.8125,5.945,6.075,6.175,6.255,6.315,6.355,6.385,6.455,6.56,6.62,6.66
1997/11/05,5.65625,5.77344,5.84375,5.955,6.045,6.145,6.215,6.265,6.27,6.345,6.41,6.52,6.59,6.62
1997/11/06,5.65625,5.77734,5.82813,5.945,6.065,6.145,6.205,6.225,6.25,6.28,6.38,6.48,6.55,6.58
1997/11/07,5.65625,5.76172,5.8125,5.925,6.085,6.165,6.235,6.305,6.325,6.355,6.415,6.5,6.58,6.59
1997/11/10,5.65625,5.78125,5.84375,5.965,6.095,6.165,6.235,6.285,6.325,6.345,6.405,6.49,6.56,6.57
1997/11/11,5.6875,5.8125,5.875,5.985,6.095,6.175,6.245,6.285,6.325,6.345,6.405,6.49,6.56,6.57
1997/11/12,5.69531,5.875,5.9375,6.055,6.085,6.155,6.195,6.225,6.255,6.285,6.355,6.44,6.5,6.53
1997/11/13,5.6875,5.875,5.91016,6.015,6.085,6.145,6.185,6.215,6.255,6.285,6.355,6.45,6.5,6.51
1997/11/14,5.6875,5.875,5.90625,5.995,6.095,6.155,6.205,6.23,6.265,6.29,6.365,6.46,6.51,6.51
1997/11/17,5.6875,5.875,5.90625,6.025,6.085,6.125,6.175,6.205,6.245,6.25,6.32,6.42,6.47,6.48
1997/11/18,5.6875,5.875,5.90625,6.005,6.08,6.16,6.185,6.205,6.245,6.27,6.335,6.42,6.48,6.48
1997/11/19,5.6875,5.875,5.90625,6.005,6.07,6.145,6.175,6.195,6.225,6.255,6.295,6.4,6.45,6.44
1997/11/20,5.6875,5.875,5.90625,5.985,6.095,6.145,6.195,6.215,6.235,6.265,6.325,6.4,6.45,6.47
1997/11/21,5.6875,5.875,5.90625,6.025,6.035,6.115,6.155,6.185,6.205,6.225,6.285,6.37,6.42,6.43
1997/11/24,5.6875,5.875,5.88672,5.955,6.06,6.125,6.165,6.185,6.225,6.255,6.315,6.39,6.44,6.46
1997/11/25,5.6875,5.875,5.90625,6,6.065,6.125,6.155,6.185,6.215,6.245,6.295,6.38,6.43,6.43
1997/11/26,5.6875,5.875,5.90625,5.995,6.085,6.135,6.175,6.195,6.225,6.245,6.305,6.39,6.43,6.43
1997/11/27,5.96875,5.87891,5.90625,5.975,6.085,6.135,6.175,6.185,6.215,6.235,6.305,6.39,6.43,6.43
1997/11/28,5.96875,5.90234,5.91406,5.985,6.105,6.185,6.215,6.235,6.265,6.275,6.325,6.4,6.45,6.43
1997/12/01,5.96875,5.90625,5.9375,6.045,6.135,6.175,6.205,6.225,6.255,6.265,6.305,6.37,6.42,6.42
1997/12/02,5.99219,5.91797,5.9375,6.015,6.105,6.155,6.195,6.21,6.235,6.255,6.305,6.38,6.41,6.42
1997/12/03,6,5.9375,5.9375,6.045,6.055,6.105,6.155,6.165,6.205,6.205,6.275,6.35,6.39,6.39
1997/12/04,6,5.9375,5.9375,5.985,6.05,6.125,6.165,6.175,6.195,6.225,6.285,6.37,6.42,6.43
1997/12/05,5.96875,5.90625,5.90625,6.015,6.155,6.205,6.245,6.265,6.295,6.315,6.355,6.44,6.47,6.46
1997/12/08,6,5.9375,5.96875,6.105,6.195,6.24,6.275,6.305,6.335,6.355,6.405,6.47,6.52,6.53
1997/12/09,6,5.9375,6,6.085,6.155,6.195,6.225,6.265,6.295,6.315,6.375,6.45,6.49,6.51
1997/12/10,6,5.9375,5.96875,6.095,6.105,6.145,6.175,6.21,6.23,6.27,6.335,6.42,6.47,6.47
